step,load_value,converged,outer_iterations,active_contact_points,negative_gap_sum,max_penetration,reaction_norm,du_norm,dphi_norm,cutback_level,used_contact_tangent_uu,output_index
1,0.0,True,2,12,2.2165486011046976e-18,4.099248886479248e-17,7.524967553030717e-19,0.0,0.0,0,True,0
2,0.005,True,3,64,0.00499999999967989,0.004999999999700152,0.0010720971214500613,4.140266083810953e-14,0.0,0,True,1
3,0.01,True,3,64,0.009999999998059282,0.009999999998121503,0.0021018139465234366,2.5483987864158574e-13,0.0,0,True,2
4,0.015,True,3,64,0.015000000000029982,0.015000000000042122,0.0030906255361882245,4.727695472908526e-14,9.911246394041667e-10,0,True,3
5,0.02,True,3,64,0.020000000000044864,0.020000000000083007,0.004040129403126486,8.273919436022169e-14,1.5998480682115754e-09,0,True,4
6,0.025,True,3,64,0.02500000000002453,0.02500000000014936,0.004952053893524488,1.4773672131832884e-13,2.3117151269682006e-09,0,True,5
7,0.03,True,3,64,0.02999999999989248,0.030000000000277277,0.005828266527753814,2.649200020616391e-13,3.105566476970389e-09,0,True,6
8,0.035,True,3,64,0.03499999999951258,0.035000000000480216,0.0066707821289913255,4.612437595803138e-13,3.960283763842088e-09,0,True,7
9,0.04,True,3,64,0.03999999999867177,0.04000000000078018,0.007481770502232564,7.663250799942232e-13,4.854927869999811e-09,0,True,8
10,0.045,True,3,64,0.0449999999970629,0.04500000000119826,0.008263563384477124,1.2108450228774204e-12,5.768738161812461e-09,0,True,9
11,0.05,True,3,64,0.04999999999426766,0.05000000000175296,0.00901866033686018,1.82499522774993e-12,6.6811494612389436e-09,0,True,10
