attempt_state_index,accepted_state_index,accepted,step,load_value,target_load,attempt_load,accepted_load_before_step,load_increment,converged,outer_iterations,active_contact_points,negative_gap_sum,max_penetration,reaction_norm,du_norm,dphi_norm,cutback_level,cutback_triggered,cutback_reason,min_increment_reached,restore_u_diff_norm,restore_phi_diff_norm,terminated_early,termination_reason,requested_final_target_load,final_accepted_load,reached_final_target,used_contact_tangent_uu,output_index
1,1,True,1,0.0,0.0,0.0,0.0,0.0,True,2,8,3.596741472147831e-18,2.85271299021229e-17,6.3487391347341025e-18,0.0,0.0,0,False,,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.01,False,True,0
2,1,False,2,0.04,0.04,0.04,0.0,0.04,False,4,36,0.040199626650081074,0.040203488237427504,0.04980865154910844,2.9625883626631513e-08,0.0,0,True,Reached max_outer_iter without satisfying convergence tolerances,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.01,False,True,1
3,1,False,2,0.02,0.04,0.02,0.0,0.02,False,4,36,0.020053512636564543,0.020054452041766774,0.026300761327672943,2.6552254733831993e-09,0.0,1,True,Reached max_outer_iter without satisfying convergence tolerances,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.01,False,True,1
4,1,False,2,0.01,0.04,0.01,0.0,0.01,False,4,36,0.010013827521684155,0.010014060933024897,0.01351552918887051,1.971457530101551e-10,0.0,2,True,Reached max_outer_iter without satisfying convergence tolerances,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.01,False,True,1
5,2,True,2,0.005,0.04,0.005,0.0,0.005,True,4,36,0.005003512933704755,0.005003571227338117,0.006850646271781196,1.3406002556820072e-11,0.0,3,False,,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.01,False,True,1
6,2,False,2,0.01,0.04,0.01,0.005,0.005,False,4,36,0.01001382752188607,0.0100140609332325,0.013515529189410465,9.706115948844837e-11,0.0,2,True,Reached max_outer_iter without satisfying convergence tolerances,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.01,False,True,2
7,3,True,2,0.0075,0.04,0.0075,0.005,0.0024999999999999996,True,4,36,0.007507841064989718,0.0075079722691600735,0.010206126219861065,2.136157285719522e-11,0.0,3,False,,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.01,False,True,2
8,4,True,2,0.01,0.04,0.01,0.0075,0.0025000000000000005,True,4,36,0.01001382752198475,0.010014060933333967,0.013515529189674337,4.815177761638004e-11,0.0,2,False,,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.01,False,True,3
9,4,False,2,0.02,0.04,0.02,0.01,0.01,False,4,36,0.020053512641918007,0.02005445204728314,0.02630076134138401,1.2854332718891381e-09,0.0,1,True,Reached max_outer_iter without satisfying convergence tolerances,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.01,False,True,4
10,4,False,2,0.015,0.04,0.015,0.01,0.004999999999999999,False,4,36,0.015030606717314085,0.015031133156486912,0.019997725176915667,2.958762730881755e-10,0.0,2,True,Reached max_outer_iter without satisfying convergence tolerances,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.01,False,True,4
11,4,False,2,0.0125,0.04,0.0125,0.01,0.0025000000000000005,False,4,36,0.012521430143786696,0.012521795225114485,0.016779253385138106,8.938964283565549e-11,0.0,3,False,max_cutbacks_reached,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.01,False,True,4
