attempt_state_index,accepted_state_index,accepted,step,target_load,attempt_load,converged,cutback_level,cutback_triggered,restore_u_diff_norm,restore_phi_diff_norm,output_index,termination_reason
1,1,True,1,0.0,0.0,True,0,False,0.0,0.0,0,Reached max_outer_iter without satisfying convergence tolerances
2,1,False,2,0.04,0.04,False,0,True,0.0,0.0,1,Reached max_outer_iter without satisfying convergence tolerances
3,1,False,2,0.04,0.02,False,1,True,0.0,0.0,1,Reached max_outer_iter without satisfying convergence tolerances
4,1,False,2,0.04,0.01,False,2,True,0.0,0.0,1,Reached max_outer_iter without satisfying convergence tolerances
5,2,True,2,0.04,0.005,True,3,False,0.0,0.0,1,Reached max_outer_iter without satisfying convergence tolerances
6,3,True,2,0.04,0.01,True,2,False,0.0,0.0,2,Reached max_outer_iter without satisfying convergence tolerances
7,3,False,2,0.04,0.02,False,1,True,0.0,0.0,3,Reached max_outer_iter without satisfying convergence tolerances
8,3,False,2,0.04,0.015,False,2,True,0.0,0.0,3,Reached max_outer_iter without satisfying convergence tolerances
9,4,True,2,0.04,0.0125,True,3,False,0.0,0.0,3,Reached max_outer_iter without satisfying convergence tolerances
10,4,False,2,0.04,0.015,False,2,True,0.0,0.0,4,Reached max_outer_iter without satisfying convergence tolerances
11,5,True,2,0.04,0.01375,True,3,False,0.0,0.0,4,Reached max_outer_iter without satisfying convergence tolerances
12,6,True,2,0.04,0.015,True,2,False,0.0,0.0,5,Reached max_outer_iter without satisfying convergence tolerances
13,6,False,2,0.04,0.02,False,1,True,0.0,0.0,6,Reached max_outer_iter without satisfying convergence tolerances
14,6,False,2,0.04,0.0175,False,2,True,0.0,0.0,6,Reached max_outer_iter without satisfying convergence tolerances
15,7,True,2,0.04,0.01625,True,3,False,0.0,0.0,6,Reached max_outer_iter without satisfying convergence tolerances
16,7,False,2,0.04,0.0175,False,2,True,0.0,0.0,7,Reached max_outer_iter without satisfying convergence tolerances
17,8,True,2,0.04,0.016875,True,3,False,0.0,0.0,7,Reached max_outer_iter without satisfying convergence tolerances
18,9,True,2,0.04,0.0175,True,2,False,0.0,0.0,8,Reached max_outer_iter without satisfying convergence tolerances
19,9,False,2,0.04,0.02,False,1,True,0.0,0.0,9,Reached max_outer_iter without satisfying convergence tolerances
20,9,False,2,0.04,0.018750000000000003,False,2,True,0.0,0.0,9,Reached max_outer_iter without satisfying convergence tolerances
21,10,True,2,0.04,0.018125000000000002,True,3,False,0.0,0.0,9,Reached max_outer_iter without satisfying convergence tolerances
22,11,True,2,0.04,0.018750000000000003,True,2,False,0.0,0.0,10,Reached max_outer_iter without satisfying convergence tolerances
23,11,False,2,0.04,0.02,False,1,True,0.0,0.0,11,Reached max_outer_iter without satisfying convergence tolerances
24,12,True,2,0.04,0.019375000000000003,True,2,False,0.0,0.0,11,Reached max_outer_iter without satisfying convergence tolerances
25,13,True,2,0.04,0.02,True,1,False,0.0,0.0,12,Reached max_outer_iter without satisfying convergence tolerances
26,13,False,2,0.04,0.04,False,0,True,0.0,0.0,13,Reached max_outer_iter without satisfying convergence tolerances
27,13,False,2,0.04,0.03,False,1,True,0.0,0.0,13,Reached max_outer_iter without satisfying convergence tolerances
28,13,False,2,0.04,0.025,False,2,True,0.0,0.0,13,Reached max_outer_iter without satisfying convergence tolerances
29,13,False,2,0.04,0.0225,False,3,False,0.0,0.0,13,Reached max_outer_iter without satisfying convergence tolerances
